Date,Open,High,Low,Close,Volume,Symbol
2022-10-21,187783.69202933583,191215.769951543,185724.4452760115,189254.58256742463,177500.0,SAB
2022-10-24,192196.3636436022,199060.51948801652,177487.4582627143,177487.4582627143,279300.0,SAB
2022-10-25,180037.0018620682,188764.28572139505,179938.9424928623,184155.49536871683,252100.0,SAB
2022-10-26,189842.9387826601,189842.9387826601,182488.48609221616,182488.48609221616,150600.0,SAB
2022-10-27,182586.5454614221,185234.148429982,179938.9424928623,184253.5547379228,222000.0,SAB
2022-10-28,186312.80149124705,186901.15770648257,182488.48609221616,182488.48609221616,85800.0,SAB
2022-10-31,184841.91095315825,184841.91095315825,178958.34880080307,181704.01113856884,105700.0,SAB
2022-11-01,181704.01113856884,183272.9610458636,179644.76438524452,180037.0018620682,170700.0,SAB
2022-11-02,180037.0018620682,180037.0018620682,176604.923939861,179938.9424928623,165000.0,SAB
2022-11-03,179448.64564683268,179448.64564683268,177095.2207858906,178468.05195477346,63000.0,SAB
2022-11-04,178468.05195477346,181409.83303095103,175526.27087859588,178468.05195477346,117500.0,SAB
2022-11-07,178566.1113239794,180429.23933889187,177585.5176319202,180429.23933889187,196800.0,SAB
2022-11-08,180429.23933889187,180625.3580773037,179252.52690842084,179448.64564683268,169200.0,SAB
2022-11-09,179546.7050160386,182194.3079845984,179546.7050160386,180919.53618492148,145300.0,SAB
2022-11-10,181900.12987698065,182390.42672301023,179448.64564683268,180919.53618492148,167600.0,SAB
2022-11-11,184351.61410712864,188175.9295061596,182194.3079845984,184155.49536871683,162000.0,SAB
2022-11-14,184155.49536871683,192098.3042743963,178468.05195477346,191215.769951543,240000.0,SAB
2022-11-15,191117.7105823371,191117.7105823371,182880.72356903984,182880.72356903984,159000.0,SAB
2022-11-16,178468.05195477346,182390.42672301023,177291.33952430246,177291.33952430246,271400.0,SAB
2022-11-17,179350.58627762675,189646.8200442483,176016.5677246255,179448.64564683268,282600.0,SAB
2022-11-18,181802.0705077748,181900.12987698065,175035.9740325663,175722.38961700775,295400.0,SAB
2022-11-21,178468.05195477346,180429.23933889187,176506.8645706551,179056.40817000897,73300.0,SAB
2022-11-22,177193.28015509652,181409.83303095103,176604.923939861,177683.5770011261,103100.0,SAB
2022-11-23,177291.33952430246,179448.64564683268,177291.33952430246,178468.05195477346,53900.0,SAB
2022-11-24,179448.64564683268,179448.64564683268,176506.8645706551,176997.16141668468,152600.0,SAB
2022-11-25,176997.16141668468,178664.1706931853,176408.80520144917,176506.8645706551,144400.0,SAB
2022-11-28,164151.38405070922,176506.8645706551,164151.38405070922,173663.14286368343,297700.0,SAB
2022-11-29,173761.20223288934,176408.80520144917,170917.4805259177,172584.4898024183,310700.0,SAB
2022-11-30,176310.74583224326,177193.28015509652,172682.54917162424,176506.8645706551,288300.0,SAB
2022-12-01,175526.27087859588,176997.16141668468,171603.8961103591,171996.13358718282,377600.0,SAB
2022-12-02,172094.19295638872,177291.33952430246,172094.19295638872,173565.0834944775,307500.0,SAB
2022-12-05,173663.14286368343,177487.4582627143,173663.14286368343,176212.68646303733,167200.0,SAB
2022-12-06,176114.62709383143,176506.8645706551,174447.6178173308,175035.9740325663,250500.0,SAB
2022-12-07,173172.84601765382,176408.80520144917,173074.78664844792,175526.27087859588,214100.0,SAB
2022-12-08,176408.80520144917,176506.8645706551,173565.0834944775,174545.6771865367,188000.0,SAB
2022-12-09,175820.44898621368,175820.44898621368,173565.0834944775,174545.6771865367,217600.0,SAB
2022-12-12,174545.6771865367,176408.80520144917,174545.6771865367,174839.85529415446,235700.0,SAB
2022-12-13,174839.85529415446,176016.5677246255,174545.6771865367,174545.6771865367,361900.0,SAB
2022-12-14,175918.5083554196,176212.68646303733,173859.26160209527,175526.27087859588,252200.0,SAB
2022-12-15,175624.33024780182,176310.74583224326,174937.91466336037,175526.27087859588,139600.0,SAB
2022-12-16,175526.27087859588,175526.27087859588,173663.14286368343,173663.14286368343,425900.0,SAB
2022-12-19,173761.20223288934,175035.9740325663,171603.8961103591,171603.8961103591,162100.0,SAB
2022-12-20,172001.8181843647,176080.51948312638,171106.49350902677,172101.2987038467,306400.0,SAB
2022-12-21,171603.89610643673,175483.63636623442,171603.89610643673,174090.90909348655,173000.0,SAB
2022-12-22,174389.35065193253,176975.84415846432,174389.35065193253,174389.35065193253,123200.0,SAB
2022-12-23,175981.03896364442,176080.51948312638,174090.90909348655,174090.90909348655,75300.0,SAB
2022-12-26,175085.71428830645,175981.03896364442,172101.2987038467,172101.2987038467,220800.0,SAB
2022-12-27,174389.35065193253,175483.63636623442,170609.0909116168,170609.0909116168,138400.0,SAB
2022-12-28,170907.53247006278,175583.11688571644,170708.5714310988,175583.11688571644,157000.0,SAB
2022-12-29,172598.70130125666,174787.2727298605,172001.8181843647,172001.8181843647,103400.0,SAB
2022-12-30,173096.10389866662,174986.2337688245,166032.98701544516,166032.98701544516,167300.0,SAB
2022-10-03,19600.0,19650.0,18450.0,18450.0,15843300.0,SSI
2022-10-04,18900.0,19100.0,17600.0,17800.0,15613300.0,SSI
2022-10-05,18350.0,18800.0,18200.0,18650.0,13616200.0,SSI
2022-10-06,18650.0,18650.0,17400.0,17400.0,12072300.0,SSI
2022-10-07,17050.0,17100.0,16200.0,16800.0,24130800.0,SSI
